Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Image Src,Image Position,Image Alt Text
"wireless-bluetooth-earbuds","Wireless Bluetooth Earbuds","Basic earbuds for music.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-001","200","shopify","25","deny","manual","29.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-wireless-bluetooth-earbuds-1/600/600","1","Wireless Bluetooth Earbuds image"
"usb-c-charging-cable","USB-C Charging Cable","Charging cable 1m.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-002","200","shopify","25","deny","manual","12.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-usb-c-charging-cable-2/600/600","1","USB-C Charging Cable image"
"stainless-steel-water-bottle","Stainless Steel Water Bottle","Bottle for drinks.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-003","200","shopify","25","deny","manual","24.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-stainless-steel-water-bottle-3/600/600","1","Stainless Steel Water Bottle image"
"yoga-mat-non-slip","Non-Slip Yoga Mat","Mat for yoga.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-004","200","shopify","25","deny","manual","34.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-yoga-mat-non-slip-4/600/600","1","Non-Slip Yoga Mat image"
"ceramic-coffee-mug","Ceramic Coffee Mug","Mug for coffee.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-005","200","shopify","25","deny","manual","14.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ceramic-coffee-mug-5/600/600","1","Ceramic Coffee Mug image"
"led-desk-lamp","LED Desk Lamp","Lamp for desk.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-006","200","shopify","25","deny","manual","39.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-led-desk-lamp-6/600/600","1","LED Desk Lamp image"
"running-shoes-men","Men Running Shoes","Shoes for running.","AI Commerce Test","Footwear","test-import,ai-suite","TRUE","Title","Default Title","TEST-007","200","shopify","25","deny","manual","79.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-running-shoes-men-7/600/600","1","Men Running Shoes image"
"cotton-t-shirt-women","Women Cotton T-Shirt","Soft t-shirt.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-008","200","shopify","25","deny","manual","19.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-cotton-t-shirt-women-8/600/600","1","Women Cotton T-Shirt image"
"leather-wallet","Leather Wallet","Wallet for cards.","AI Commerce Test","Accessories","test-import,ai-suite","TRUE","Title","Default Title","TEST-009","200","shopify","25","deny","manual","27.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-leather-wallet-9/600/600","1","Leather Wallet image"
"portable-phone-stand","Portable Phone Stand","Stand for phone.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-010","200","shopify","25","deny","manual","15.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-portable-phone-stand-10/600/600","1","Portable Phone Stand image"
"kitchen-knife-set","Kitchen Knife Set","Set of knives.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-011","200","shopify","25","deny","manual","49.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-kitchen-knife-set-11/600/600","1","Kitchen Knife Set image"
"bamboo-cutting-board","Bamboo Cutting Board","Board for cutting.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-012","200","shopify","25","deny","manual","22.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-bamboo-cutting-board-12/600/600","1","Bamboo Cutting Board image"
"memory-foam-pillow","Memory Foam Pillow","Pillow for sleep.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-013","200","shopify","25","deny","manual","44.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-memory-foam-pillow-13/600/600","1","Memory Foam Pillow image"
"travel-backpack-40l","Travel Backpack 40L","Backpack for travel.","AI Commerce Test","Bags","test-import,ai-suite","TRUE","Title","Default Title","TEST-014","200","shopify","25","deny","manual","59.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-travel-backpack-40l-14/600/600","1","Travel Backpack 40L image"
"fitness-resistance-bands","Fitness Resistance Bands","Bands for workout.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-015","200","shopify","25","deny","manual","18.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-fitness-resistance-bands-15/600/600","1","Fitness Resistance Bands image"
"smart-watch-fitness","Smart Fitness Watch","Watch with fitness tracking.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-016","200","shopify","25","deny","manual","89.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-watch-fitness-16/600/600","1","Smart Fitness Watch image"
"organic-green-tea","Organic Green Tea 50 Bags","Green tea bags.","AI Commerce Test","Grocery","test-import,ai-suite","TRUE","Title","Default Title","TEST-017","200","shopify","25","deny","manual","11.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-organic-green-tea-17/600/600","1","Organic Green Tea 50 Bags image"
"scented-candle-lavender","Lavender Scented Candle","Candle with scent.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-018","200","shopify","25","deny","manual","16.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-scented-candle-lavender-18/600/600","1","Lavender Scented Candle image"
"wireless-mouse-ergonomic","Ergonomic Wireless Mouse","Mouse for computer.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-019","200","shopify","25","deny","manual","25.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-wireless-mouse-ergonomic-19/600/600","1","Ergonomic Wireless Mouse image"
"bluetooth-speaker-mini","Mini Bluetooth Speaker","Small speaker.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-020","200","shopify","25","deny","manual","32.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-bluetooth-speaker-mini-20/600/600","1","Mini Bluetooth Speaker image"
"compact-home-kit-21","Compact Home Kit 21","Simple compact home kit 21 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-021","200","shopify","25","deny","manual","62.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-21-21/600/600","1","Compact Home Kit 21 image"
