Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
"wireless-bluetooth-earbuds","Wireless Bluetooth Earbuds","Basic earbuds for music.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-001","200","shopify","25","deny","manual","29.99","","TRUE","TRUE","FALSE","","","active"
"usb-c-charging-cable","USB-C Charging Cable","Charging cable 1m.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-002","200","shopify","25","deny","manual","12.99","","TRUE","TRUE","FALSE","","","active"
"stainless-steel-water-bottle","Stainless Steel Water Bottle","Bottle for drinks.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-003","200","shopify","25","deny","manual","24.99","","TRUE","TRUE","FALSE","","","active"
"yoga-mat-non-slip","Non-Slip Yoga Mat","Mat for yoga.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-004","200","shopify","25","deny","manual","34.99","","TRUE","TRUE","FALSE","","","active"
"ceramic-coffee-mug","Ceramic Coffee Mug","Mug for coffee.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-005","200","shopify","25","deny","manual","14.99","","TRUE","TRUE","FALSE","","","active"
"led-desk-lamp","LED Desk Lamp","Lamp for desk.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-006","200","shopify","25","deny","manual","39.99","","TRUE","TRUE","FALSE","","","active"
"running-shoes-men","Men Running Shoes","Shoes for running.","AI Commerce Test","Footwear","test-import,ai-suite","TRUE","Title","Default Title","TEST-007","200","shopify","25","deny","manual","79.99","","TRUE","TRUE","FALSE","","","active"
"cotton-t-shirt-women","Women Cotton T-Shirt","Soft t-shirt.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-008","200","shopify","25","deny","manual","19.99","","TRUE","TRUE","FALSE","","","active"
"leather-wallet","Leather Wallet","Wallet for cards.","AI Commerce Test","Accessories","test-import,ai-suite","TRUE","Title","Default Title","TEST-009","200","shopify","25","deny","manual","27.99","","TRUE","TRUE","FALSE","","","active"
"portable-phone-stand","Portable Phone Stand","Stand for phone.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-010","200","shopify","25","deny","manual","15.99","","TRUE","TRUE","FALSE","","","active"
"kitchen-knife-set","Kitchen Knife Set","Set of knives.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-011","200","shopify","25","deny","manual","49.99","","TRUE","TRUE","FALSE","","","active"
"bamboo-cutting-board","Bamboo Cutting Board","Board for cutting.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-012","200","shopify","25","deny","manual","22.99","","TRUE","TRUE","FALSE","","","active"
"memory-foam-pillow","Memory Foam Pillow","Pillow for sleep.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-013","200","shopify","25","deny","manual","44.99","","TRUE","TRUE","FALSE","","","active"
"travel-backpack-40l","Travel Backpack 40L","Backpack for travel.","AI Commerce Test","Bags","test-import,ai-suite","TRUE","Title","Default Title","TEST-014","200","shopify","25","deny","manual","59.99","","TRUE","TRUE","FALSE","","","active"
"fitness-resistance-bands","Fitness Resistance Bands","Bands for workout.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-015","200","shopify","25","deny","manual","18.99","","TRUE","TRUE","FALSE","","","active"
"smart-watch-fitness","Smart Fitness Watch","Watch with fitness tracking.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-016","200","shopify","25","deny","manual","89.99","","TRUE","TRUE","FALSE","","","active"
"organic-green-tea","Organic Green Tea 50 Bags","Green tea bags.","AI Commerce Test","Grocery","test-import,ai-suite","TRUE","Title","Default Title","TEST-017","200","shopify","25","deny","manual","11.99","","TRUE","TRUE","FALSE","","","active"
"scented-candle-lavender","Lavender Scented Candle","Candle with scent.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-018","200","shopify","25","deny","manual","16.99","","TRUE","TRUE","FALSE","","","active"
"wireless-mouse-ergonomic","Ergonomic Wireless Mouse","Mouse for computer.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-019","200","shopify","25","deny","manual","25.99","","TRUE","TRUE","FALSE","","","active"
"bluetooth-speaker-mini","Mini Bluetooth Speaker","Small speaker.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-020","200","shopify","25","deny","manual","32.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-21","Compact Home Kit 21","Simple compact home kit 21 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-021","200","shopify","25","deny","manual","62.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-22","Pro Kitchen Tool 22","Simple pro kitchen tool 22 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-022","200","shopify","25","deny","manual","64.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-23","Ultra Fitness Accessory 23","Simple ultra fitness accessory 23 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-023","200","shopify","25","deny","manual","67.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-24","Smart Apparel Holder 24","Simple smart apparel holder 24 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-024","200","shopify","25","deny","manual","69.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-25","Eco Beauty Bottle 25","Simple eco beauty bottle 25 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-025","200","shopify","25","deny","manual","72.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-26","Deluxe Outdoor Kit 26","Simple deluxe outdoor kit 26 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-026","200","shopify","25","deny","manual","74.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-27","Premium Office Tool 27","Simple premium office tool 27 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-027","200","shopify","25","deny","manual","77.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-28","Classic Pet Accessory 28","Simple classic pet accessory 28 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-028","200","shopify","25","deny","manual","79.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-29","Essential Baby Holder 29","Simple essential baby holder 29 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-029","200","shopify","25","deny","manual","82.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-30","Everyday Electronics Bottle 30","Simple everyday electronics bottle 30 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-030","200","shopify","25","deny","manual","84.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-31","Compact Home Kit 31","Simple compact home kit 31 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-031","200","shopify","25","deny","manual","87.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-32","Pro Kitchen Tool 32","Simple pro kitchen tool 32 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-032","200","shopify","25","deny","manual","89.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-33","Ultra Fitness Accessory 33","Simple ultra fitness accessory 33 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-033","200","shopify","25","deny","manual","92.49","","TRUE","TRUE","FALSE","","","active"
